Metadata_SYKE_SCA_Baltic_0.05deg_pv,urn:nbn:fi:csc-kata20170613101021579947
{AB16A1FF-65E1-4A6E-A73D-653DDAAA7495},urn:nbn:fi:csc-kata20170613101027343979
{76879C3D-8293-4C12-B873-26F59BCF54B9},urn:nbn:fi:csc-kata20170613101032874971
{ECE5D7C1-FF3C-47C2-84F1-D878CD3DA6EE},urn:nbn:fi:csc-kata20170613101038871806
{8B962E44-AB11-4D38-B178-76AB85B114BB},urn:nbn:fi:csc-kata20170613101123860204
{2FA13650-7CB3-4299-8663-7542769D102E},urn:nbn:fi:csc-kata20170613101044362124
{6FC8A217-6A9D-4FE2-8923-843DA4A7DBE5},urn:nbn:fi:csc-kata20170613101049958353
{EE4B7F52-5528-4AC2-9C7B-1D8CE4AD13D0},urn:nbn:fi:csc-kata20170613101111428927
{F4A6DADE-650B-4BA2-8E69-11ED37EC1335},urn:nbn:fi:csc-kata20170613101117629616
{F47A597F-FC14-47C5-BD3A-AE0710BC8A08},urn:nbn:fi:csc-kata20170613101129593546
{6DEF8642-7867-4047-AEB9-5134D24C4D64},urn:nbn:fi:csc-kata20170613101139716663
{9BBA8D56-3FD3-431B-BFC3-7C2EFF5CAC8E},urn:nbn:fi:csc-kata20170613101145955765
{F2FAD430-3632-4ACC-B2B1-70680795361E},urn:nbn:fi:csc-kata20170613101152484229
